Part #,Description,Product Group,Net Weight
SH-42CST,#42 CARBON STEEL TOOL - SCULPTURE HOUSE,MISCELLANEOUS ACCESSORIES RAM,0
SH-68CST,#68 CARBON STEEL TOOL - SCULPTURE HOUSE,MISCELLANEOUS ACCESSORIES RAM,0
AR-69-PRLB,#69 RIGID CASTING COMPOUND - PER LB,AR-PRODUCTS PARTS,1
AR-69-5GL,#69 RIGID CASTING COMPOUND 5 GALLON,AR-PRODUCTS PARTS,50
AR-69-DRM,#69 RIGID CASTING COMPOUND DRUM - 50 GAL,AR-PRODUCTS PARTS,450
AR-69-GL,#69 RIGID CASTING COMPOUND GALLON,AR-PRODUCTS PARTS,10
AR-69-QT,#69 RIGID CASTING COMPOUND QUART,AR-PRODUCTS PARTS,2
SH-71CST,#71 CARBON STEEL TOOL - SCULPTURE HOUSE,MISCELLANEOUS ACCESSORIES RAM,0
SH-91AZ-PRS,#91AZ PLASTER RASP SET - SCULPTURE HOUSE,MISCELLANEOUS ACCESSORIES RAM,0
SH-SH33-SSMT,#SH33 STAINLESS STEEL MODELING TOOL - SC HOUSE,MISCELLANEOUS ACCESSORIES RAM,0
SH-SH184-SSM,#SH33 STAINLESS STEEL MODELING TOOL - SC HOUSE,MISCELLANEOUS ACCESSORIES RAM,0
SH-SH75-SSMT,#SH75 STAINLESS STEEL MODELING TOOL - SC HOUSE,MISCELLANEOUS ACCESSORIES RAM,0
11200,"(1) SMOOTH-ON CATALOG  ""PURPLE"" (0.184KGS) (7149) *PBV",SALES AND MARKETING MATERIAL,0.41
609-31,09 RC RETAINING COMPOUND  50ML,ASI,0
BALL2044,1 GAL HARDENER 6 LBS (AMMONIUM CHLORIDE),MISCELLANEOUS ACCESSORIES RAM,0
1GPAIL,1 GALLON PAIL,MISCELLANEOUS ACCESSORIES RAM,1
1GPAIL-LD,1 GALLON PAIL LID,MISCELLANEOUS ACCESSORIES RAM,1
01XCTM1,1 GALLON XTREME COUNTER TOP MODIFIER (10 LBS),SURECRETE DESIGN PRODUCTS,0
034XLMP1,1 GALLON XTREME LIGHTWEIGHT PLUS MODIFIER (10 LBS),SURECRETE DESIGN PRODUCTS,10
INP48100,"1 MIL NITRILE GLOVES, EXTRA-LARGE POWDERED 100/BOX",MISCELLANEOUS ACCESSORIES RAM,3
INP46100,"1 MIL NITRILE GLOVES, LARGE POWDERED 100/BOX",MISCELLANEOUS ACCESSORIES RAM,3
BRUSH1,"1"" CHIP BRUSH, #K620",EPOXIES AND EPOXY ADHESIVES,0
39560A,"1"" CHOPPED ""E"" GLASS (8# 3.63KGS)",FORTON CONCRETE AND GYPSUM LATEX,8
39570A,"1"" CHOPPED ""E"" GLASS BOX (40# 18.14KGS)",FORTON CONCRETE AND GYPSUM LATEX,40
JM2S91SQCS,"1"" SQU CORED SPRUE GREEN WAX - CASE 55#",MISCELLANEOUS ACCESSORIES RAM,55
852A10030R15,"1"" X 3"" W15""R RADIUS ROLLER",MISCELLANEOUS ACCESSORIES RAM,0
BRUSH1/12,"1-1/2"" CHIP BRUSH, #K620",EPOXIES AND EPOXY ADHESIVES,0
102131SNGL,1.5 MM SHEET WAX SINGLE PIECE,MISCELLANEOUS ACCESSORIES RAM,0
LT5-KEMPER,"1.5"" LOOP TOOL - KEMPER",MISCELLANEOUS ACCESSORIES RAM,0.084
G300-FN2,"1/16"" 91.6 MM) FLUID NOZZLE",MISCELLANEOUS ACCESSORIES RAM,0.07
BRUSH1/2,"1/2"" CHIP BRUSH",MISCELLANEOUS,0.02
CHPGLASS 1GL,"1/2"" CHOPPED GLASS FIBER - 1 GAL",MISCELLANEOUS ACCESSORIES RAM,0
G300-FN1,"1/32"" (0.8 MM) FLUID NOZZLE",MISCELLANEOUS ACCESSORIES RAM,0.07
G300-FN5,"1/32"" (3.9 MM) FLUID NOZZLE",MISCELLANEOUS ACCESSORIES RAM,0.07
G300-FN8,"1/4"" (6.2 MM) FLUID NOZZLE",MISCELLANEOUS ACCESSORIES RAM,0.07
G300-FN4,"1/8"" (3.1 MM) FLUID NOZZLE",MISCELLANEOUS ACCESSORIES RAM,0.07
FG 1038,10 OZ. E-GLASS WOVEN CLOTH - 1 YARD,MISCELLANEOUS ACCESSORIES RAM,3
AL10-X,"10"" ALUMINUM CALIPER",MISCELLANEOUS ACCESSORIES RAM,0.03
AL10,"10"" ALUMINUM CALIPER - PACKAGED",MISCELLANEOUS ACCESSORIES RAM,0.03
SCI-FS10,"10"" KNIFE EDGED FIBERGLASS SCISSORS",MISCELLANEOUS ACCESSORIES RAM,0
4210,"10"" WHITE HANDLE SPATULA",MISCELLANEOUS,0
406-X,"10"" WOOD MODELING TOOL",MISCELLANEOUS ACCESSORIES RAM,0.06
402-X,"10"" WOOD MODELING TOOL",MISCELLANEOUS ACCESSORIES RAM,0.06
402,"10"" WOOD MODELING TOOL PACKAGED",MISCELLANEOUS ACCESSORIES RAM,0.03
406,"10"" WOOD MODELING TOOL PACKAGED",MISCELLANEOUS ACCESSORIES RAM,0.03
BALL2045,10# BAG OF FGR-95,FORTON CONCRETE AND GYPSUM LATEX,10
99779,10% STUDENT DISCOUNT,MISCELLANEOUS,0
03040B,101 FAST HARDENER  PINT (0.5# 0.23KGS),EPOXIES AND EPOXY ADHESIVES,0.508
03070B,101 FAST HARDENER 1-GAL (9# 4.08KGS),EPOXIES AND EPOXY ADHESIVES,9
03080B,101 FAST HARDENER 5-GAL (40# 18.14KGS),EPOXIES AND EPOXY ADHESIVES,40
03060B,101 FAST HARDENER QUART (2# 0.91KGS),EPOXIES AND EPOXY ADHESIVES,2
03170B,102 MEDIUM HARDENER 1-GAL  (10.5# 4.76KGS),EPOXIES AND EPOXY ADHESIVES,10.5
03180B,102 MEDIUM HARDENER 5-GAL (36.3# 16.47KGS),EPOXIES AND EPOXY ADHESIVES,36.3
03140B,102 MEDIUM HARDENER PINT (0.6# 0.27KGS),EPOXIES AND EPOXY ADHESIVES,0.6
03160B,102 MEDIUM HARDENER QUART (2.2# 1.00KGS),EPOXIES AND EPOXY ADHESIVES,2.2
03270B,103 SLOW HARDENER 1-GAL (10.2# 4.63KGS),EPOXIES AND EPOXY ADHESIVES,10.2
03280B,103 SLOW HARDENER 5-GAL (35.5# 16.10KGS),EPOXIES AND EPOXY ADHESIVES,35.5
03240B,103 SLOW HARDENER PINT (0.57# 0.26KGS),EPOXIES AND EPOXY ADHESIVES,0.57
03260B,103 SLOW HARDENER QUART (2.2# 1.00KGS),EPOXIES AND EPOXY ADHESIVES,2.2
BWK12TC,12 OZ TRANSLUCENT PLASTIC CUP,EPOXIES AND EPOXY ADHESIVES,0
POPCORN,130 OZ POPCORN BUCKET,EPOXIES AND EPOXY ADHESIVES,0
102211,13H-950Y - 13 MM AR GLASS FIBERS (44# - 19.96KGS),FORTON CONCRETE AND GYPSUM LATEX,44
102213,13PH-950X - 13 MM AR GLASS FIBERS (44# 20.00KGS),FORTON CONCRETE AND GYPSUM LATEX,44.092
BALL1449,13S750 - AR GLASS FIBERS WET (44# BAG),FORTON CONCRETE AND GYPSUM LATEX,44
BALL1002,1411 1.9LB (1411 POLY OPTIC 1.9 B KIT),FORTON CONCRETE AND GYPSUM LATEX,0
BALL1003,1411 15.2LB (1411 POLYOPTIC 15.2 LB KIT),FORTON CONCRETE AND GYPSUM LATEX,0
BALL1005,1411 ES7 15.2LB (1411 ES7 POLYOPTIC 15.2LB KIT),FORTON CONCRETE AND GYPSUM LATEX,0
BALL1006,14R (14R POLYOPTIC RETARDER 1 LB),FORTON CONCRETE AND GYPSUM LATEX,0
BALL1007,14X 1LB (14X ACCELERATOR 1 LB),FORTON CONCRETE AND GYPSUM LATEX,0
BALL1008,14X 1OZ (14X ACCELORATOR 1OZ),FORTON CONCRETE AND GYPSUM LATEX,0
BALL1009,15-6 16LB (15-6 PLASTIC 16 LB),FORTON CONCRETE AND GYPSUM LATEX,0
BALL1010,15-6 4LB (15-6 PLASTIC 4 LB),FORTON CONCRETE AND GYPSUM LATEX,0
BALL1011,15-6 80LB (15-6 PLASTIC 80 LB),FORTON CONCRETE AND GYPSUM LATEX,0
99783,1500 ML CARTRIDGE CASE:10,MISCELLANEOUS,0.5
BALL1012,1511 4LB (1511 PLASTIC 4 LB),FORTON CONCRETE AND GYPSUM LATEX,0
BALL1013,1511 80LB (1511 PLASTIC 80 LB),FORTON CONCRETE AND GYPSUM LATEX,0
BALL1014,1512 16LB (1512 PLASTIC 16 LB),FORTON CONCRETE AND GYPSUM LATEX,0
BALL1015,1512 2LB A (1512 PART A 2 LB),FORTON CONCRETE AND GYPSUM LATEX,0
BALL1016,1512 2LB B (1512 PART B 2 LB),FORTON CONCRETE AND GYPSUM LATEX,0
BALL1017,1512 40 LB A (1512 PART A 40 LB),FORTON CONCRETE AND GYPSUM LATEX,0
BALL1018,1512 4LB (1512 PALSTIC 4 LB),FORTON CONCRETE AND GYPSUM LATEX,0
BALL1019,1512 80LB (1512 PLASTIC 80 LB),FORTON CONCRETE AND GYPSUM LATEX,0
BALL1020,1512 A 8LB (1512 PART A 8 LB),FORTON CONCRETE AND GYPSUM LATEX,0
BALL1021,1512X 16LB (1512X PLASTIC 16 LB),FORTON CONCRETE AND GYPSUM LATEX,0
BALL1022,1512X 4LB (1512X PLASTIC 4 LB),FORTON CONCRETE AND GYPSUM LATEX,0
BALL1023,1512X 80LB (1512X PLASTIC 80 LB),FORTON CONCRETE AND GYPSUM LATEX,0
BALL1024,15F 1LB (15F FOAMER 1 LB),FORTON CONCRETE AND GYPSUM LATEX,0
BALL1025,15F 1OZ (15F FOAMER 1 OZ),FORTON CONCRETE AND GYPSUM LATEX,0
BALL1026,15F 8LB (15F FOAMER 8 LB),FORTON CONCRETE AND GYPSUM LATEX,0
BALL1027,15X 1 LB (15X ACCELERATOR 1 LB (1 PINT)),FORTON CONCRETE AND GYPSUM LATEX,0
BALL1028,15X 1OZ (15X ACCELERATOR 1 OZ),FORTON CONCRETE AND GYPSUM LATEX,0
101478,15YRS_VYTAFLEX_FLYER *PI,SALES AND MARKETING MATERIAL,0.01
99879,16 OZ MIX & MEASURE CONTAINER,MISCELLANEOUS,0.037
PMA16,16 OZ PRO-TAC ADHESIVE,MISCELLANEOUS ACCESSORIES RAM,0
99875,16-OZ MIX & MEASURE CONTAINER CASE:10,MISCELLANEOUS,0.37
99865,16-OZ MIX & MEASURE CONTAINER CS:100 (3016),MISCELLANEOUS,3.7
35540A,1616 SLIDE PINT PART-A (1# 0.45KGS),SILICONES-PLATINUM,1
35540B,1616 SLIDE PINT PART-B (1# 0.45KGS),SILICONES-PLATINUM,1
35541,1616 SLIDE PINT UNIT (2# 0.90KGS),SILICONES-PLATINUM,2
99882,165 OZ MIX & MEASURE CONTAINER,MISCELLANEOUS,0
99878,165-OZ MIX & MEASURE CONTAINER CASE:10,MISCELLANEOUS,2.87
99868,165-OZ MIX & MEASURE CONTAINER CS:100 (3003),MISCELLANEOUS,28.7
WATERMELON,16OZ WATERMELON PLASTIC CAP APPLICATION MATERIAL WATER BASED LATEX ALTERNAT,MISCELLANEOUS ACCESSORIES RAM,0
109002,19PH-950X - BR A/R GLASS FIBERS 44 LB BAG (ARGF2001-44),FORTON CONCRETE AND GYPSUM LATEX,44
INPF44100,"1MIL NITRILE GLOVES, MEDIUM POWDER-FREE 100/BOX",MISCELLANEOUS ACCESSORIES RAM,3
BPFXBOOK,1ST ED. SPECIAL MAKE-UP FX FOR STAGE AND SCREEN BOOK,MISCELLANEOUS ACCESSORIES RAM,0
99793,"2 "" HOSE ASSEMBLY KIT (PART-A AND B HOSE)",MISCELLANEOUS,0
102313,2 GALLON VALVE ASSEMBLY,MISCELLANEOUS,1
LNJ148,2 TO 1 PLUNGER,EPOXIES AND EPOXY ADHESIVES,0
BRUSH2,"2"" CHIP BRUSH, #K620",EPOXIES AND EPOXY ADHESIVES,0.08
86020A,"2"" DRUM FAUCET",MISCELLANEOUS,0.65
99789,"2"" HOSE ASSEMBLY - PART-A",MISCELLANEOUS,0
99790,"2"" HOSE ASSEMBLY - PART-B",MISCELLANEOUS,0
PPK 200,"2"" PLASTIC PUTTY KNIFE",MISCELLANEOUS ACCESSORIES RAM,0
CR-2 540 A/M,"2"" X 1/8""RX 1/4"" WIDE RADIUS ROLLER",MISCELLANEOUS ACCESSORIES RAM,0
CCFEE,2% CREDIT CARD TRANSACTION FEE,ADJUSTMENTS,0
FW AS30007,2-AB150 SOFT VICTORY BROWN WAX /LB,EPOXIES AND EPOXY ADHESIVES,0
109194,"2-STONE WARM GRAY, 110 LB DRUM",BUDDY RHODES PRODUCTS,110
VACSTYWHITE,"20 MIL HIGH IMPACT STYRENE WHITE SHEET 53"" X 55""",MISCELLANEOUS ACCESSORIES RAM,0
99891,200 ML MANUAL CARTRIDGE GUN (4104),MISCELLANEOUS,2
109751,2030 HAZE (CC-2030),BUDDY RHODES PRODUCTS,0
22001-MARBLE,22001 - MARBLEMITE 50 LBS BAG,MISCELLANEOUS ACCESSORIES RAM,50
BALL1029,2300 (POL-EASE 2300 12OZ CAN),FORTON CONCRETE AND GYPSUM LATEX,0
BALL1030,2350 26LB (POL-EASE 2350  26 LB),FORTON CONCRETE AND GYPSUM LATEX,0
BALL1031,2350 QT (POL-EASE 2350 QUART),FORTON CONCRETE AND GYPSUM LATEX,0
24OZ GLCLOTH,24 OZ FIBERGLASS CLOTH YARD,MISCELLANEOUS ACCESSORIES RAM,2.25
BALL1032,2450 30LB (POL-EASE 2450 30 LB  ),FORTON CONCRETE AND GYPSUM LATEX,0
BALL1033,2450 QT (POL-EASE 2450 QUART NAPHTHA),FORTON CONCRETE AND GYPSUM LATEX,0
BALL1034,2500 (POL-EASE 2500 12OZ CAN),FORTON CONCRETE AND GYPSUM LATEX,0
BALL1035,2601 40LB (POL-EASE 2601 40 LB),FORTON CONCRETE AND GYPSUM LATEX,0
BALL1036,2601 QT (POL-EASE 2601 QUART),FORTON CONCRETE AND GYPSUM LATEX,0
BALL1037,2650 35LB (POL-EASE 2650 35 LB),FORTON CONCRETE AND GYPSUM LATEX,0
BALL1038,2650 375LB (POL-EASE 2650  375 LB),FORTON CONCRETE AND GYPSUM LATEX,0
BALL1039,2650 QT (POL-EASE 2650 QUART),FORTON CONCRETE AND GYPSUM LATEX,0
BPFXBOOK2,2ND ED. SPECIAL MAKEUP FX FOR STAGE AND SCREEN,MISCELLANEOUS ACCESSORIES RAM,3
JM 2R738,2R738 BULK RECLAIM WAX 50 LB. BAG,MISCELLANEOUS ACCESSORIES RAM,50
99777,3 SAMPLE STONE MOLDS,MISCELLANEOUS,0
DS295-620,"3"" ASI STATIC MIXING TIPS 50 ML.",ASI,0
102300,3' X 4' ROTATIONAL CASTING MACHINE,MISCELLANEOUS,1000
G300-FN6,"3/16"" (4.7 MM) FLUID NOZZLE",MISCELLANEOUS ACCESSORIES RAM,0.07
G300-FN3,"3/32"" (2.4MM) FLUID NOZZLE",MISCELLANEOUS ACCESSORIES RAM,0.07
99787,"3/4"" MANIFOLD HOSE ASSEMBLY - PART-A",MISCELLANEOUS,0
99788,"3/4"" MANIFOLD HOSE ASSEMBLY - PART-B",MISCELLANEOUS,0
85920A,"3/4"" RIEKE FAUCET",MISCELLANEOUS,0.08
JM2S93/4RDCS,"3/4"" ROUND CORED SPRUE GREEN WAX - CASE 55#",MISCELLANEOUS ACCESSORIES RAM,55
102323,3/8 PUSH TO CONNECT ELBOW FOR SPRAY GUN,MISCELLANEOUS,0
BALL1040,30 GALLON AXIAL BLADE (30 GALLON AXIAL GLADE BOTTOM DISCHARGE  ),FORTON CONCRETE AND GYPSUM LATEX,0
99858,"30"" STATIC MIXING TUBE (4930) FOR URETHANE",MISCELLANEOUS,0.53
32OZDELI,32 OUNCE CLEAR DELI CUP,MISCELLANEOUS,0
99880,32 OZ MIX & MEASURE CONTAINER,MISCELLANEOUS,0.25
PMA32,32 OZ PRO-TAC ADHESIVE,MISCELLANEOUS ACCESSORIES RAM,0
G30001132SV2,32 OZ. REPLACEMENT CUPS SLEEVE,MISCELLANEOUS ACCESSORIES RAM,1.5
99876X,32-OZ MIX & MEASURE CONTAINER CASE: 10,MISCELLANEOUS,0.75
99876,32-OZ MIX & MEASURE CONTAINER CASE:10,MISCELLANEOUS,0.75
99866,32-OZ MIX & MEASURE CONTAINER CS:100 (3001),MISCELLANEOUS,7.5
WTRMLN32OZ,32OZ WATERMELON PLASTIC CAP APPLICATION MATERIAL,MISCELLANEOUS ACCESSORIES RAM,1
6071-35,35 LB SELF SKINNING FLEX 5-GAL SYSTEM,EXPANDABLE FOAM,49
35ML SYRINGE,"35ML SYRINGE, CATHETER TIP",MISCELLANEOUS ACCESSORIES RAM,0.1
99862,"36"" STATIC MIXING TUBE (4936) FOR SILICONE",MISCELLANEOUS,0.64
99982,38H-530X  - BAG AR GLASS FIBERS (33# 14.97KGS),FORTON CONCRETE AND GYPSUM LATEX,33
BALL1041,3M COARSE DK GRAY (3M SCOTCH BRITE COARSE DK.GRAY),FORTON CONCRETE AND GYPSUM LATEX,0
BALL1042,3M FINE GRAY (3M SCOTCH BRITE FINE GRAY),FORTON CONCRETE AND GYPSUM LATEX,0
BALL1043,3M FINER WHITE (3M SCOTCH BRITE FINER WHITE),FORTON CONCRETE AND GYPSUM LATEX,0
BALL1044,3M MED RED (3M SCOTCH BRITE MED RED),FORTON CONCRETE AND GYPSUM LATEX,0
102450,3X5 BAG LIQUISTONE (S) (FOR TORSO KIT),ACCUCAST,0.25
6098-4#55G,"4 LB RIGID FOAM 2-DRUM SYSTEM 1,000#",EXPANDABLE FOAM,0
6098-4A55G,4 LB RIGID FOAM PART-A 55-GAL DRUM 545#,EXPANDABLE FOAM,0
6098-4B55G,4 LB RIGID FOAM PART-B 55-GAL DRUM 455#,EXPANDABLE FOAM,0
FG-0430,4 OZ. E-GLASS WOVEN CLOTH - 1 YARD,MISCELLANEOUS ACCESSORIES RAM,3
102217,4 X 4 FLOOR SCALE W/READOUT FOR URETHANE MIX MACHINE(MACHINE PURCHASE),MISCELLANEOUS,0
PPK 400,"4"" PLASTIC PUTTY KNIFE",MISCELLANEOUS ACCESSORIES RAM,0
1204SPREAD,"4"" PLASTIC SCRAPER WITH RAM LOGO",EPOXIES AND EPOXY ADHESIVES,0.03
SPD-SE 400 B,"4"" PUTTY SPREADER-FIBERGLASS-BULK 100 EA",MISCELLANEOUS ACCESSORIES RAM,0
99784,400 ML CARTRIDGE W/SEALS,MISCELLANEOUS,1
99816,400 ML MANUAL CARTRIDGE GUN (4910),MISCELLANEOUS,0.75
7702757,400ML PISTON PLUNGER CAP - BAG OF 20 CAPS,MISCELLANEOUS ACCESSORIES RAM,0.25
BF5C65A395,415 H/O BLUE - ENDURANCE TECHNOLOGIES,MISCELLANEOUS ACCESSORIES RAM,15
WTRMLN4OZ,4OZ WATERMELON PLASTIC CAP APPLICATION MATERIAL,MISCELLANEOUS ACCESSORIES RAM,1
PP55407,4X24X60 MODEL PLANK,MISCELLANEOUS ACCESSORIES RAM,0
5GPAIL,5 GALLON PAIL,MISCELLANEOUS ACCESSORIES RAM,1
5GPAIL-LD,5 GALLON PAIL LID,MISCELLANEOUS ACCESSORIES RAM,1
01XCTM5,5 GALLON XTREME COUNTER TOP MODIFIER (50 LBS / 22,SURECRETE DESIGN PRODUCTS,0
1205SPREAD,"5"" PLASTIC SCRAPER WITH RAM LOGO",MISCELLANEOUS ACCESSORIES RAM,0.05
SPD-SE 500 B,"5"" PUTTY SPREADER- FIBERGLASS BULK",MISCELLANEOUS ACCESSORIES RAM,0
115975,5-GAL SOLID LID (NO RIEKE SPOUT),MISCELLANEOUS,0
01XXCCTM5,5-GAL XTREME COUNTER TOP MODIFIER CONCENTRATE (51 LBS / 23.1 KG),SURECRETE DESIGN PRODUCTS,0
MODEL 15,5-GALLON PAIL DISPENSING STAND,MISCELLANEOUS ACCESSORIES RAM,0
JM2S95/8RDCS,"5/8"" ROUND CORED SPRUE GREEN WAX - CASE 55#",MISCELLANEOUS ACCESSORIES RAM,55
101154-080,50 LB BAG #1 CASTING GYPSUM MR,GYPSUM PLASTER,50
106690-080,50 LB BAG #1 POTTERY GYPSUM,GYPSUM PLASTER,50
BALL1045,500RL (COPPER POWDER),FORTON CONCRETE AND GYPSUM LATEX,0
126170,5011 SPRAYABLE LATEX 5-GAL PAIL (40# 18.14KGS),HOLDEN'S LATEX PRODUCTS,40
126171,5011 SPRAYABLE LATEX 55-GAL DRUM (440# 199.58KGS),HOLDEN'S LATEX PRODUCTS,440
11302,"51-245 SEAL RING (PRESSURE POT, SILVER)",MISCELLANEOUS,1
11301,"51-522 SEAL RING, FILLER CAP (SILVER PRESSURE POT)",MISCELLANEOUS,1
102330,55-GALLON DRUM LID WITH CENTER BUNG,MISCELLANEOUS,10
6036-6#55G,"6 LB RIGID FOAM 2-DRUM SYSTEM 1,000#",EXPANDABLE FOAM,1000
6036-6A55G,6 LB RIGID FOAM PART-A 55-GAL DRUM 500#,EXPANDABLE FOAM,500
6036-6B55G,6 LB RIGID FOAM PART-B 55-GAL DRUM 500#,EXPANDABLE FOAM,0
91711,6 PACK SILC PIG FOR ZOMBIE KIT (0.13# 0.06KGS),MISCELLANEOUS,0.13
D9-X,"6"" DBL WIRE END TOOL",MISCELLANEOUS ACCESSORIES RAM,0
D1-X,"6"" DBL WIRE END TOOL",MISCELLANEOUS ACCESSORIES RAM,0.03
D2-X,"6"" DBL WIRE END TOOL",MISCELLANEOUS ACCESSORIES RAM,0
D3-X,"6"" DBL WIRE END TOOL",MISCELLANEOUS ACCESSORIES RAM,0
D6-X,"6"" DBL WIRE END TOOL",MISCELLANEOUS ACCESSORIES RAM,0
D7-X,"6"" DBL WIRE END TOOL",MISCELLANEOUS ACCESSORIES RAM,0
D8-X,"6"" DBL WIRE END TOOL",MISCELLANEOUS ACCESSORIES RAM,0
D1,"6"" DBL WIRE END TOOL PACKAGED",MISCELLANEOUS ACCESSORIES RAM,0.03
D2,"6"" DBL WIRE END TOOL PACKAGED",MISCELLANEOUS ACCESSORIES RAM,0.03
D6,"6"" DBL WIRE END TOOL PACKAGED",MISCELLANEOUS ACCESSORIES RAM,0.03
D7,"6"" DBL WIRE END TOOL PACKAGED",MISCELLANEOUS ACCESSORIES RAM,0.03
D8,"6"" DBL WIRE END TOOL PACKAGED",MISCELLANEOUS ACCESSORIES RAM,0.03
D9,"6"" DBL WIRE END TOOL PACKAGED",MISCELLANEOUS ACCESSORIES RAM,0.03
1206SPREAD,"6"" PLASTIC SCRAPER WITH RAM LOGO",MISCELLANEOUS ACCESSORIES RAM,0.07
DS99550,"6"" STATIC MIXER FOR 50ML ASI KITS",ASI,0
JA14-X,"6"" WOOD MODELING TOOL",MISCELLANEOUS ACCESSORIES RAM,0
JA20-X,"6"" WOOD MODELING TOOL",MISCELLANEOUS ACCESSORIES RAM,0.024
JA6-X,"6"" WOOD MODELING TOOL",MISCELLANEOUS ACCESSORIES RAM,0.026
JA4-X,"6"" WOOD MODELING TOOL",MISCELLANEOUS ACCESSORIES RAM,0.026
JA2-X,"6"" WOOD MODELING TOOL",MISCELLANEOUS ACCESSORIES RAM,0
JA17-X,"6"" WOOD MODELING TOOL",MISCELLANEOUS ACCESSORIES RAM,0
JA18-X,"6"" WOOD MODELING TOOL",MISCELLANEOUS ACCESSORIES RAM,0
JA5-X,"6"" WOOD MODELING TOOL",MISCELLANEOUS ACCESSORIES RAM,0
JA7-X,"6"" WOOD MODELING TOOL",MISCELLANEOUS ACCESSORIES RAM,0
JA20,"6"" WOOD MODELING TOOL - PACKAGED",MISCELLANEOUS ACCESSORIES RAM,0
JA14,"6"" WOOD MODELING TOOL PACKAGED",MISCELLANEOUS ACCESSORIES RAM,0.026
JA17,"6"" WOOD MODELING TOOL PACKAGED",MISCELLANEOUS ACCESSORIES RAM,0.02
JA18,"6"" WOOD MODELING TOOL PACKAGED",MISCELLANEOUS ACCESSORIES RAM,0.024
JA2,"6"" WOOD MODELING TOOL PACKAGED",MISCELLANEOUS ACCESSORIES RAM,0.024
JA22,"6"" WOOD MODELING TOOL PACKAGED",MISCELLANEOUS ACCESSORIES RAM,0.03
JA4,"6"" WOOD MODELING TOOL PACKAGED",MISCELLANEOUS ACCESSORIES RAM,0.026
JA6,"6"" WOOD MODELING TOOL PACKAGED",MISCELLANEOUS ACCESSORIES RAM,0.026
JA7,"6"" WOOD MODELING TOOL PACKAGED",MISCELLANEOUS ACCESSORIES RAM,0.022
JA22-X,"6'"" WOOD MODELING TOOL",MISCELLANEOUS ACCESSORIES RAM,0.018
SH608AZ,608AZ SET - THIN LINE SERIES,MISCELLANEOUS ACCESSORIES RAM,0.07
109374,61078 BROWN BLEND (251525),BUDDY RHODES PRODUCTS,0
